Category,Subcategory,Endpoint,Port,Protocol,TestMode,WildcardNote,Notes,Reference
W365-CloudPC,Registration,login.microsoftonline.com,443,TCP,Both,,Microsoft Entra ID authentication,https://learn.microsoft.com/en-us/windows-365/enterprise/requirements-network
W365-CloudPC,Registration,login.live.com,443,TCP,Both,,Microsoft account authentication,https://learn.microsoft.com/en-us/windows-365/enterprise/requirements-network
W365-CloudPC,Registration,enterpriseregistration.windows.net,443,TCP,Both,,Device registration,https://learn.microsoft.com/en-us/windows-365/enterprise/requirements-network
W365-CloudPC,Windows365 Service,*.infra.windows365.microsoft.com,443,TCP,CloudPC,Wildcard - cannot auto-test; verify DNS resolves,Windows 365 provisioning and health checks,https://learn.microsoft.com/en-us/windows-365/enterprise/requirements-network
W365-CloudPC,Windows365 Service,*.cmdagent.trafficmanager.net,443,TCP,CloudPC,Wildcard - cannot auto-test,Windows 365 command agent,https://learn.microsoft.com/en-us/windows-365/enterprise/requirements-network
W365-CloudPC,IoT Provisioning,global.azure-devices-provisioning.net,443,TCP,CloudPC,,IoT Hub device provisioning,https://learn.microsoft.com/en-us/windows-365/enterprise/requirements-network
W365-CloudPC,IoT Provisioning,global.azure-devices-provisioning.net,5671,TCP,CloudPC,,IoT Hub device provisioning AMQP,https://learn.microsoft.com/en-us/windows-365/enterprise/requirements-network
W365-CloudPC,IoT Hubs,hm-iot-in-prod-prap01.azure-devices.net,443,TCP,CloudPC,,Asia Pacific IoT Hub,https://learn.microsoft.com/en-us/windows-365/enterprise/requirements-network
W365-CloudPC,IoT Hubs,hm-iot-in-prod-prap01.azure-devices.net,5671,TCP,CloudPC,,Asia Pacific IoT Hub AMQP,https://learn.microsoft.com/en-us/windows-365/enterprise/requirements-network
W365-CloudPC,IoT Hubs,hm-iot-in-prod-prau01.azure-devices.net,443,TCP,CloudPC,,Australia IoT Hub,https://learn.microsoft.com/en-us/windows-365/enterprise/requirements-network
W365-CloudPC,IoT Hubs,hm-iot-in-prod-prau01.azure-devices.net,5671,TCP,CloudPC,,Australia IoT Hub AMQP,https://learn.microsoft.com/en-us/windows-365/enterprise/requirements-network
W365-CloudPC,IoT Hubs,hm-iot-in-prod-preu01.azure-devices.net,443,TCP,CloudPC,,Europe IoT Hub,https://learn.microsoft.com/en-us/windows-365/enterprise/requirements-network
W365-CloudPC,IoT Hubs,hm-iot-in-prod-preu01.azure-devices.net,5671,TCP,CloudPC,,Europe IoT Hub AMQP,https://learn.microsoft.com/en-us/windows-365/enterprise/requirements-network
W365-CloudPC,IoT Hubs,hm-iot-in-prod-prna01.azure-devices.net,443,TCP,CloudPC,,North America IoT Hub,https://learn.microsoft.com/en-us/windows-365/enterprise/requirements-network
W365-CloudPC,IoT Hubs,hm-iot-in-prod-prna01.azure-devices.net,5671,TCP,CloudPC,,North America IoT Hub AMQP,https://learn.microsoft.com/en-us/windows-365/enterprise/requirements-network
W365-CloudPC,IoT Hubs,hm-iot-in-prod-prna02.azure-devices.net,443,TCP,CloudPC,,North America IoT Hub 2,https://learn.microsoft.com/en-us/windows-365/enterprise/requirements-network
W365-CloudPC,IoT Hubs,hm-iot-in-prod-prna02.azure-devices.net,5671,TCP,CloudPC,,North America IoT Hub 2 AMQP,https://learn.microsoft.com/en-us/windows-365/enterprise/requirements-network
W365-CloudPC,IoT Hubs,hm-iot-in-2-prod-preu01.azure-devices.net,443,TCP,CloudPC,,Europe IoT Hub 2,https://learn.microsoft.com/en-us/windows-365/enterprise/requirements-network
W365-CloudPC,IoT Hubs,hm-iot-in-2-prod-preu01.azure-devices.net,5671,TCP,CloudPC,,Europe IoT Hub 2 AMQP,https://learn.microsoft.com/en-us/windows-365/enterprise/requirements-network
W365-CloudPC,IoT Hubs,hm-iot-in-2-prod-prna01.azure-devices.net,443,TCP,CloudPC,,North America IoT Hub 2b,https://learn.microsoft.com/en-us/windows-365/enterprise/requirements-network
W365-CloudPC,IoT Hubs,hm-iot-in-2-prod-prna01.azure-devices.net,5671,TCP,CloudPC,,North America IoT Hub 2b AMQP,https://learn.microsoft.com/en-us/windows-365/enterprise/requirements-network
W365-CloudPC,IoT Hubs,hm-iot-in-3-prod-preu01.azure-devices.net,443,TCP,CloudPC,,Europe IoT Hub 3,https://learn.microsoft.com/en-us/windows-365/enterprise/requirements-network
W365-CloudPC,IoT Hubs,hm-iot-in-3-prod-preu01.azure-devices.net,5671,TCP,CloudPC,,Europe IoT Hub 3 AMQP,https://learn.microsoft.com/en-us/windows-365/enterprise/requirements-network
